"","OncodriveCLUST","OncodriveFM","ActiveDriver","DriverNet","DawnRank","NetSig","CBNA","Hoang_FGF2_06True","Hoang_FGF2_07True","Hoang_HER2_06True","Hoang_HER2_07True","Hoang_VIM_06True","Hoang_VIM_07True","SC_HER2_06True","SC_HER2_07True","SC_VIM_06True","SC_VIM_07True","TP_HER2_07True"
"19","ENSG00000108468","ENSG00000198502","ENSG00000065559","ENSG00000179930","ENSG00000101412","ENSG00000169398","ENSG00000038427","ENSG00000165124","ENSG00000141736","ENSG00000178209","ENSG00000197386","ENSG00000127914","ENSG00000101680","ENSG00000147162","ENSG00000146648","ENSG00000146648","ENSG00000197442","ENSG00000127329"
"20","ENSG00000108669","ENSG00000126803","ENSG00000115306","ENSG00000128591","ENSG00000155511","ENSG00000168090","ENSG00000149311","ENSG00000185010","ENSG00000161681","ENSG00000141736","ENSG00000101680","ENSG00000178209","ENSG00000166963","ENSG00000163629","ENSG00000132694","ENSG00000100393","ENSG00000160255","ENSG00000101680"
"21","ENSG00000162227","ENSG00000065526","ENSG00000196235","ENSG00000142156","ENSG00000134352","ENSG00000064393","ENSG00000139687","ENSG00000178209","ENSG00000166963","ENSG00000166147","ENSG00000078328","ENSG00000153707","ENSG00000127329","ENSG00000172534","ENSG00000196313","ENSG00000153201","ENSG00000110713","ENSG00000178104"
"22","ENSG00000167315","ENSG00000117713","ENSG00000137936","ENSG00000253953","ENSG00000178568","ENSG00000100614","ENSG00000128591","ENSG00000096433","ENSG00000196367","ENSG00000152818","ENSG00000001626","ENSG00000166147","ENSG00000196367","ENSG00000102974","ENSG00000178568","ENSG00000172534","ENSG00000112851","ENSG00000118058"
"23","ENSG00000168291","ENSG00000184009","ENSG00000164327","ENSG00000204969","ENSG00000146648","ENSG00000107643","ENSG00000140836","ENSG00000141736","ENSG00000134250","ENSG00000196367","ENSG00000178104","ENSG00000096433","ENSG00000161681","ENSG00000146648","ENSG00000139618","ENSG00000132694","ENSG00000124151","ENSG00000079102"
"24","ENSG00000170142","ENSG00000123992","ENSG00000134909","ENSG00000198821","ENSG00000125730","ENSG00000118046","ENSG00000096696","ENSG00000166147","ENSG00000139687","ENSG00000197386","ENSG00000064012","ENSG00000128591","ENSG00000001626","ENSG00000101868","ENSG00000111859","ENSG00000159140","ENSG00000102081","ENSG00000142798"
"25","ENSG00000171161","ENSG00000196712","ENSG00000149311","ENSG00000008300","ENSG00000105974","ENSG00000185551","ENSG00000139618","ENSG00000161681","ENSG00000078328","ENSG00000101680","ENSG00000134250","ENSG00000152818","ENSG00000134250","ENSG00000132694","ENSG00000127616","ENSG00000196313","ENSG00000106571","ENSG00000137076"
"26","ENSG00000175390","ENSG00000121879","ENSG00000137776","ENSG00000189056","ENSG00000087586","ENSG00000166189","ENSG00000183454","ENSG00000152818","ENSG00000008710","ENSG00000078328","ENSG00000130396","ENSG00000101680","ENSG00000139687","ENSG00000196313","ENSG00000008710","ENSG00000197694","ENSG00000035928","ENSG00000196367"
"27","ENSG00000176170","ENSG00000139687","ENSG00000171992","ENSG00000102290","ENSG00000166147","ENSG00000101109","ENSG00000094631","ENSG00000166963","ENSG00000064012","ENSG00000001626","ENSG00000018236","ENSG00000042832","ENSG00000018236","ENSG00000178568","ENSG00000160294","ENSG00000141367","ENSG00000137203","ENSG00000065361"
"28","ENSG00000185883","ENSG00000163399","ENSG00000148498","ENSG00000132470","ENSG00000081985","ENSG00000136573","ENSG00000145675","ENSG00000196367","ENSG00000001626","ENSG00000178104","ENSG00000142949","ENSG00000166963","ENSG00000038427","ENSG00000139618","ENSG00000197442","ENSG00000111859","ENSG00000081237","ENSG00000159216"
