,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
750,ENSG00000121022,HGNC:2240,COPS5,3,-0.21718295,-1189.663936,0.015
751,ENSG00000137218,HGNC:16970,FRS3,3,-0.225261185,-99.14794635,0.015
752,ENSG00000096717,HGNC:14929,SIRT1,3,-0.242008685,-560.9753509,0.045
753,ENSG00000111802,HGNC:17768,TDP2,3,-0.248905797,-806.0540626,0.025
754,ENSG00000030110,HGNC:949,BAK1,3,-0.256820503,-497.5420872,0.005
755,ENSG00000107614,HGNC:2977,TRDMT1,3,-0.262447218,-112.2509904,0.005
756,ENSG00000166598,HGNC:12028,HSP90B1,3,-0.27308753,-19208.5075,0.005
757,ENSG00000167550,HGNC:21166,RHEBL1,3,-0.280025525,-38.03887795,0.005235602
758,ENSG00000056558,HGNC:12031,TRAF1,3,-0.283863353,-410.3705794,0.035
759,ENSG00000198805,HGNC:7892,PNP,3,-0.286583741,-1168.598854,0.025
760,ENSG00000104825,HGNC:7798,NFKBIB,3,-0.296385239,-507.7219047,0.005154639
761,ENSG00000075413,HGNC:6897,MARK3,3,-0.305043104,-1552.588924,0.005
762,ENSG00000132664,HGNC:15763,POLR3F,3,-0.305745322,-361.675755,0.005
763,ENSG00000165417,HGNC:4646,GTF2A1,3,-0.309117605,-1302.884724,0.015
764,ENSG00000139197,HGNC:9719,PEX5,3,-0.35000396,-1606.626361,0.010152284
765,ENSG00000165916,HGNC:9549,PSMC3,3,-0.36779522,-3790.448994,0.005
766,ENSG00000075142,HGNC:11292,SRI,3,-0.379923316,-4467.696392,0.01
767,ENSG00000090104,HGNC:9991,RGS1,3,-0.391934142,-3711.524341,0.03
768,ENSG00000182307,HGNC:26104,C8orf33,3,-0.395724013,-3148.496011,0.005
769,ENSG00000163823,HGNC:1602,CCR1,3,-0.401894415,-563.3404785,0.025
770,ENSG00000116350,HGNC:10786,SRSF4,3,-0.408166633,-3346.90905,0.01
771,ENSG00000164749,HGNC:5026,HNF4G,3,-0.416592418,-130.788114,0.005
772,ENSG00000103365,HGNC:16064,GGA2,3,-0.425473808,-5717.348714,0.03
773,ENSG00000127993,HGNC:21785,RBM48,3,-0.433503572,-780.9435134,0.005
774,ENSG00000106355,HGNC:17162,LSM5,3,-0.450698509,-1713.218671,0.005
775,ENSG00000277632,HGNC:10627,CCL3,3,-0.494745565,-340.5521559,0.015
776,ENSG00000135404,HGNC:1692,CD63,3,-0.498517078,-32650.75387,0.005154639
777,ENSG00000105426,HGNC:9681,PTPRS,3,-0.508033698,-4655.068866,0.005235602
778,ENSG00000169813,HGNC:5039,HNRNPF,3,-0.525569161,-21939.60259,0.005076142
779,ENSG00000166681,HGNC:13388,BEX3,3,-0.52733691,-4499.086433,0.005235602
