"","Ensembl.ID","HGNC.ID","HGNC.symbol","rank","RelEffect","AbsEffect","p"
"1","ENSG00000121879","HGNC:8975","PIK3CA",328,0.345787984917074,744.099833581725,0.005
"2","ENSG00000198626","HGNC:10484","RYR2",85,4.20795415685007,121.523477172243,0.005
"3","ENSG00000151914","HGNC:1090","DST",75,0.81077797097423,7603.92390378635,0.005
"4","ENSG00000163554","HGNC:11272","SPTA1",57,0.843171876761578,12.3305176571724,0.0050251256281407
"5","ENSG00000039068","HGNC:1748","CDH1",55,1.04396979421567,15585.8178557158,0.005
"6","ENSG00000127603","HGNC:13664","MACF1",43,1.60019480221679,12841.2050990661,0.005
"7","ENSG00000084674","HGNC:603","APOB",42,37.6988777059051,19.9213652883881,0.005
"8","ENSG00000081479","HGNC:6694","LRP2",40,2.03801306880412,5082.17234370386,0.005
"9","ENSG00000085224","HGNC:886","ATRX",39,0.359271740937059,2133.592441178,0.00523560209424084
"10","ENSG00000127914","HGNC:379","AKAP9",37,-0.66225115846886,-21957.5279071227,0.005
"11","ENSG00000196712","HGNC:7765","NF1",36,5.0598540123857,7075.27779097332,0.00523560209424084
"12","ENSG00000065526","HGNC:17575","SPEN",35,1.82253938530435,4250.2302213692,0.005
"13","ENSG00000166147","HGNC:3603","FBN1",34,7.63304786134395,15482.5737736551,0.005
"14","ENSG00000165124","HGNC:15985","SVEP1",33,1.0623769038801,773.840993770446,0.005
"15","ENSG00000111642","HGNC:1919","CHD4",32,0.205198189252444,3429.26022105052,0.025
"16","ENSG00000152818","HGNC:12635","UTRN",30,9.46490484361371,5506.28597940969,0.005
"17","ENSG00000198734","HGNC:3542","F5",30,2.37771309532895,193.788459012192,0.02
"18","ENSG00000153707","HGNC:9668","PTPRD",30,-2.20589608127598,1508.76143662395,0.04
"19","ENSG00000123384","HGNC:6692","LRP1",29,9.98251197457277,24709.4114853896,0.005
"20","ENSG00000166963","HGNC:6835","MAP1A",29,3.57347701412498,1302.94011435481,0.005
"21","ENSG00000065559","HGNC:6844","MAP2K4",28,0.746543286105112,1001.47929223012,0.04
"22","ENSG00000142208","HGNC:391","AKT1",27,0.51422506645226,5081.25689427277,0.00523560209424084
"23","ENSG00000185010","HGNC:3546","F8",27,-0.595788732619114,-1480.95063859417,0.02
"24","ENSG00000042832","HGNC:11764","TG",26,4.19209384332448,70.0546045161557,0.005
"25","ENSG00000149311","HGNC:795","ATM",25,4.56261771155951,2396.86805765528,0.005
"26","ENSG00000101680","HGNC:6481","LAMA1",24,4.36995038882716,330.557496701491,0.005
"27","ENSG00000127329","HGNC:9665","PTPRB",24,1.83371949017473,1538.25457757265,0.005
"28","ENSG00000178209","HGNC:9069","PLEC",24,0.554148602391306,9368.29694349638,0.0050761421319797
"29","ENSG00000038427","HGNC:2464","VCAN",23,2.04845706558312,16525.61320784,0.005
"30","ENSG00000134982","HGNC:583","APC",23,1.5596885287763,1346.88451533808,0.0209424083769634
"31","ENSG00000065534","HGNC:7590","MYLK",23,1.24320945372713,4132.39121491849,0.00520833333333333
"32","ENSG00000118058","HGNC:7132","KMT2A",23,0.889178285232994,2384.58978837441,0.005
"33","ENSG00000142798","HGNC:5273","HSPG2",22,14.4753086982085,17764.8774053007,0.005
"34","ENSG00000100503","HGNC:14906","NIN",22,1.54066807773953,2161.87284311465,0.005
"35","ENSG00000130396","HGNC:7137","AFDN",22,0.995157499409615,3900.52262018927,0.00523560209424084
"36","ENSG00000096433","HGNC:6182","ITPR3",22,0.843371225743007,2741.74381895697,0.00515463917525773
"37","ENSG00000196367","HGNC:12347","TRRAP",22,0.759431492505169,2868.67527152582,0.005
"38","ENSG00000167522","HGNC:21316","ANKRD11",22,0.504255074577469,1578.13895708834,0.00515463917525773
"39","ENSG00000137076","HGNC:11845","TLN1",22,0.406877316759803,7075.51693355221,0.02
"40","ENSG00000079102","HGNC:1535","RUNX1T1",22,-0.842282343564171,-1998.54864215576,0.0151515151515152
"41","ENSG00000169946","HGNC:16700","ZFPM2",21,17.5438012941059,389.449244271918,0.005
"42","ENSG00000159216","HGNC:10471","RUNX1",21,12.1321408831507,10676.8007759978,0.02
"43","ENSG00000134250","HGNC:7882","NOTCH2",21,2.21841286901974,10127.1849495211,0.00523560209424084
"44","ENSG00000007314","HGNC:10591","SCN4A",21,1.62016789290482,78.6970333646165,0.005
"45","ENSG00000029534","HGNC:492","ANK1",20,32.534277674887,452.863550392239,0.00523560209424084
"46","ENSG00000001626","HGNC:1884","CFTR",20,10.935478174587,57.1635490084838,0.005
"47","ENSG00000225830","HGNC:3438","ERCC6",20,4.8518214663152,756.820373511743,0.031413612565445
"48","ENSG00000079841","HGNC:17282","RIMS1",20,1.21910596283608,107.554060183162,0.005
"49","ENSG00000110799","HGNC:12726","VWF",20,0.758276959932571,4968.0405347711,0.0050761421319797
"50","ENSG00000070961","HGNC:814","ATP2B1",20,0.50820145623432,1021.1013984517,0.005
"51","ENSG00000139687","HGNC:9884","RB1",20,0.497514630635775,1475.88438677525,0.0050761421319797
"52","ENSG00000138162","HGNC:11523","TACC2",20,0.419027000212239,1064.01650826149,0.005
"53","ENSG00000112769","HGNC:6484","LAMA4",20,0.413129520591318,1759.74193595448,0.03
"54","ENSG00000198646","HGNC:15936","NCOA6",20,0.287235058201005,1181.122631103,0.00523560209424084
"55","ENSG00000142949","HGNC:9670","PTPRF",20,-0.434150706838468,-34519.5600233254,0.0257731958762887
"56","ENSG00000176406","HGNC:17283","RIMS2",19,67.2836869951064,240.558580484929,0.005
"57","ENSG00000197565","HGNC:2208","COL4A6",19,9.16545231600521,594.57451497516,0.03
"58","ENSG00000273079","HGNC:4586","GRIN2B",19,3.78143460019445,18.9191806653839,0.02
"59","ENSG00000107186","HGNC:7208","MPDZ",19,0.939977651581968,1025.00957475316,0.005
"60","ENSG00000188153","HGNC:2207","COL4A5",19,0.580002699282044,1303.35218601715,0.015
"61","ENSG00000137474","HGNC:7606","MYO7A",19,0.312110560855394,134.470555851294,0.03
"62","ENSG00000082898","HGNC:12825","XPO1",19,0.14889345564908,1508.01708421937,0.00523560209424084
"63","ENSG00000128591","HGNC:3756","FLNC",19,-0.486726000447199,-1134.23339880865,0.0207253886010363
"64","ENSG00000142449","HGNC:18794","FBN3",19,-1.54672360284036,589.652526984231,0.02
"65","ENSG00000161681","HGNC:15474","SHANK1",19,-3.55523102507925,80.6016800326787,0.0209424083769634
"66","ENSG00000081052","HGNC:2206","COL4A4",18,30.1424770715044,181.244114377858,0.005
"67","ENSG00000067369","HGNC:11999","TP53BP1",18,1.91657075292133,2220.1186099853,0.005
"68","ENSG00000131626","HGNC:9245","PPFIA1",18,0.942905636623801,2609.53387837839,0.005
"69","ENSG00000012048","HGNC:1100","BRCA1",18,0.595919862006393,461.729468419911,0.0456852791878173
